Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00  2565028     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::derived() const
  0.00      0.00     0.00  1536000     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.00     0.00  1536000     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.00     0.00  1536000     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.00     0.00  1028516     0.00     0.00  Eigen::DenseStorage<std::complex<double>, -1, -1, 1, 0>::rows() const
  0.00      0.00     0.00  1028516     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::rows() const
  0.00      0.00     0.00  1027515     0.00     0.00  Eigen::DenseStorage<std::complex<double>, -1, -1, 1, 0>::cols()
  0.00      0.00     0.00  1027515     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::cols() const
  0.00      0.00     0.00  1026514     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::cols() const
  0.00      0.00     0.00  1026514     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::rows() const
  0.00      0.00     0.00  1026514     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::size() const
  0.00      0.00     0.00  1024000     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.00     0.00  1024000     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.00     0.00  1024000     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.00     0.00  1024000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.00     0.00   774262     0.00     0.00  CQP::NumericalGrid<1u, 1u>::getTotalCount() const
  0.00      0.00     0.00   768256     0.00     0.00  Eigen::internal::evaluator_base<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::evaluator_base()
  0.00      0.00     0.00   768256     0.00     0.00  Eigen::internal::evaluator_base<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::~evaluator_base()
